기관유형,기관분류,상세기관분류,사이트명,사이트 구분,사이트링크
중앙행정기관,환경부,환경부,환경부 홈페이지,웹,http://www.me.go.kr
중앙행정기관,환경부,환경부,생활환경안전정보포털,웹,http://ecolife.me.go.kr
중앙행정기관,환경부,환경부,환경통계포털,모바일웹,http://m.stat.me.go.kr
중앙행정기관,환경부,환경부,생태관광 홈페이지,웹,http://eco-tour.kr
중앙행정기관,환경부,환경부,국토환경성평가지도 시스템,웹,http://ecvam.kei.re.kr
중앙행정기관,환경부,환경부,환경공간정보서비스,웹,http://egis.me.go.kr
중앙행정기관,환경부,환경부,국립환경과학원 환경정보도서관,웹,http://library.nier.go.kr
중앙행정기관,환경부,환경부,지속가능발전포털,웹,http://ncsd.go.kr
중앙행정기관,환경부,환경부,환경영향평가 정보지원시스템,웹,http://www.eiass.go.kr
중앙행정기관,환경부,환경부,환경부 환경디지털도서관,웹,http://library.me.go.kr
중앙행정기관,환경부,환경부,환경민원포털,웹,http://minwon.me.go.kr
중앙행정기관,환경부,환경부,중앙환경분쟁조정위원회 홈페이지,웹,http://ecc.me.go.kr
중앙행정기관,환경부,환경부,한강수계관리위원회 홈페이지,웹,http://www.hanriver.or.kr
중앙행정기관,환경부,환경부,토지매수정보시스템,웹,http://land.me.go.kr
중앙행정기관,환경부,환경부,환경부 낙동강유역환경청,웹,http://www.me.go.kr/ndg
중앙행정기관,환경부,환경부,환경부 금강유역환경청,웹,http://www.me.go.kr/gg/
중앙행정기관,환경부,환경부,환경부 원주지방환경청,웹,http://www.me.go.kr/wonju
중앙행정기관,환경부,환경부,환경부 대구지방환경청,웹,http://www.me.go.kr/daegu/
중앙행정기관,환경부,환경부,환경부 수도권대기환경청,웹,http://www.me.go.kr/mamo/
중앙행정기관,환경부,환경부,WHD 취약계층 환경보건 협력센터,웹,http://whocc.nier.go.kr
중앙행정기관,환경부,환경부,통합환경허가시스템,웹,http://ieps.nier.go.kr
중앙행정기관,환경부,환경부,나노안정성정보시스템,웹,http://nano.nier.go.kr
중앙행정기관,환경부,환경부,물환경정보시스템,웹,http://water.nier.go.kr
중앙행정기관,환경부,환경부,국립환경과학원 홈페이지,웹,http://nier.go.kr
중앙행정기관,환경부,환경부,실시간수질정보시스템,웹,http://www.koreawqi.go.kr
중앙행정기관,환경부,환경부,토양지하수정보시스템,웹,http://sgis.nier.go.kr
중앙행정기관,환경부,환경부,대기오염물질 배출량,웹,http://airemiss.nier.go.kr
중앙행정기관,환경부,환경부,한반도의 생물다양성,웹,http://species.nibr.go.kr
중앙행정기관,환경부,환경부,국립생물자원관 기관홈페이지,웹,http://www.nibr.go.kr
중앙행정기관,환경부,환경부,CBD-CHM KOREA(영문),웹,http://www.cbd-chm.go.kr
중앙행정기관,환경부,환경부,유전자원정보관리센터,웹,http://www.abs.go.kr
중앙행정기관,환경부,환경부,국가생물다양성 정보공유체계,웹,http://www.kbr.go.kr
중앙행정기관,환경부,환경부,생물다양성도서관,웹,http://library.nibr.go.kr
중앙행정기관,환경부,환경부,새만금통합환경관리시스템,웹,http://www.eariul.go.kr
중앙행정기관,환경부,환경부,온라인교육시스템,웹,http://edunics.me.go.kr
중앙행정기관,환경부,환경부,화학물질종합정보시스템,웹,http://icis.me.go.kr
중앙행정기관,환경부,환경부,화학물질안전원(홈페이지),웹,http://nics.me.go.kr
중앙행정기관,환경부,환경부,배출권등록부시스템,웹,http://etrs.gir.go.kr
중앙행정기관,환경부,환경부,국가온실가스종합관리시스템,웹,http://ngms.gir.go.kr
중앙행정기관,환경부,환경부,국가 인벤토리 보고 시스템,웹,http://nirs.gir.go.kr
중앙행정기관,환경부,환경부,상쇄등록부시스템,웹,http://ors.gir.go.kr
중앙행정기관,환경부,환경부,온실가스종합정보센터 홈페이지,웹,https://ngms.gir.go.kr/
중앙행정기관,환경부,환경부,한강홍수통제소 홈페이지,웹,http://www.hrfco.go.kr
중앙행정기관,환경부,환경부,국가수자원관리종합정보시스템,웹,http://www.wamis.go.kr
중앙행정기관,환경부,환경부,낙동강홍수통제소,웹,http://www.nakdongriver.go.kr
중앙행정기관,환경부,환경부,금강홍수통제소 홈페이지,웹,http://www.geumriver.go.kr
중앙행정기관,환경부,환경부,영상강홍수통제소 홈페이지,웹,http://www.yeongsanriver.go.kr
중앙행정기관,환경부,환경부,환경측정분석사 자격관리,웹,http://qtest.me.go.kr
중앙행정기관,환경부,환경부,국립환경인재개발원 홈페이지,웹,http://ehrd.me.go.kr
